categorie,n_runs_valides,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,phase_time_syscall_system,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
ytb-AdBlockPlus-v2,15,2.8000000000000000,397.3333333333333333,1010.9333333333333333,64820019.200000000000,7260296.533333333333,811642.400000000000,21496671591.46666667,565656443.00000000,0.66666666666666666667,317.4666666666666667,183549.066666666667,3472.6666666666666667,29797.933333333333,37429968.866666666667
ytb-AdGuard-v2,13,1.5384615384615385,676.1538461538461538,1648.4615384615384615,46369240.615384615385,9700903.384615384615,781266.538461538462,16550950789.38461538,544486716.61538462,1.00000000000000000000,312.3076923076923077,452627.000000000000,3276.6153846153846154,16691.769230769231,35316369.076923076923
ytb-noAddBlock-v2,5,3.2000000000000000,165.2000000000000000,480.8000000000000000,21155020.800000000000,666828.800000000000,630125.600000000000,9839459429.20000000,439152285.00000000,2.2000000000000000,293.4000000000000000,8348.0000000000000000,1536.8000000000000000,34596.000000000000,16562559.200000000000
ytb-premium-v2,17,3.9411764705882353,197.3529411764705882,540.3529411764705882,23360692.705882352941,1014603.294117647059,721622.235294117647,7612240387.64705882,502918968.05882353,1.3529411764705882,282.1176470588235294,25425.294117647059,1792.9411764705882353,43469.352941176471,19325844.058823529412
ytb-Ublock-v2,16,3.8750000000000000,423.8750000000000000,1082.2500000000000000,60501248.000000000000,7840768.000000000000,790694.750000000000,22194187617.06250000,551057467.62500000,1.00000000000000000000,370.0000000000000000,214825.125000000000,3591.1250000000000000,40933.750000000000,38706346.625000000000
