categorie,n_runs_valides,gpu_carbon_rate_gco2_per_s,gpu_avg_power_w,gpu_power_avg_w
ytb-AdBlockPlus-v2,15,0.0000000051445164177643923322,0.000054524997733821455282,0.00066666666666666667
ytb-AdGuard-v2,13,0.0000000028253778873329883965,0.000030652817601168663397,0.00100000000000000000
ytb-noAddBlock-v2,5,0.0000000058367851405277403843,0.001758024315362353696804,0.00220000000000000000
ytb-premium-v2,17,0.0000000073770814489494568318,0.000477885915207807596806,0.00135294117647058824
ytb-Ublock-v2,16,0.0000000071183544110475148196,0.000075125001217821283656,0.00100000000000000000
