categrie,run_id,created_at,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,ane_energy_powermetrics_component,cpu_time_powermetrics_vm,phase_time_syscall_system,ane_power_powermetrics_component,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,ane_carbon_powermetrics_component,cores_energy_powermetrics_component
ytb-AdBlockPlus-v2,3f5d2aa0-0b67-4e5a-b89d-00f081253b11,2026-03-27 00:35:17.289139+01,16,2470,7815,6356566016,239677440,1859740,0,93932255119,1296105537,0,19,3371,5928086,32517,170985,0,350493694
ytb-AdBlockPlus-v2,220d4ec8-5797-44e1-871d-f7a8d1737ca3,2026-03-27 00:56:51.414554+01,160,3187,9643,6343565312,321024000,1852433,0,123921487334,1291011576,0,49,3425,6905287,38512,1738995,0,415088697
ytb-AdBlockPlus-v2,b4c21595-ee9e-4c41-b16c-2c2942c7509b,2026-03-27 08:30:25.727868+01,138,3116,9405,6433505280,408465408,1850502,0,123241553752,1289666971,0,33,3522,8442105,37880,1479982,0,408291678
ytb-AdBlockPlus-v2,56370a76-e64e-41f9-a11b-504fdc732ac4,2026-03-27 08:59:18.22243+01,182,275,972,3384541184,319344640,2088155,0,153907998764,1455293796,0,30,3229,1826039,14468,1959994,0,155951764
ytb-AdBlockPlus-v2,26d1f34e-0add-4b9f-9a35-437717c121e0,2026-03-27 09:14:59.569594+01,25,236,828,2681356288,396673024,2145087,0,139465695542,1494971823,0,1,3079,2281381,12740,268990,0,137315784
ytb-AdBlockPlus-v2,f8238a85-071d-468d-855d-86deaeb7e229,2026-03-27 09:35:04.378693+01,2,233,775,3564470272,379035648,2151386,0,140068186221,1499362257,0,0,2868,2163090,11926,19997,0,128543772
ytb-AdBlockPlus-v2,df4f7431-02ce-439e-bd88-e91d9e8fe367,2026-03-27 09:51:29.685417+01,18,238,805,3531386880,386879488,2116136,0,144473142043,1474794510,0,1,3073,2193624,12363,198995,0,133252754
ytb-AdBlockPlus-v2,db374d5d-8799-4864-b7ee-a52d94c0e467,2026-03-27 10:07:30.672098+01,36,123,517,1929064448,6488064,2182102,0,120067518256,1520768523,0,2,3008,33738,7759,386992,0,83631768
ytb-AdBlockPlus-v2,2b26a488-1b33-4f2d-a74c-accaf0a39944,2026-03-27 10:24:18.563914+01,0,18,116,118784,106496,14971,0,811828870,10434051,0,0,194,11135,106,0,0,1140990
ytb-AdBlockPlus-v2,b33ba95c-a9c3-43fc-93d3-523e0d0ddc0d,2026-03-27 10:28:51.458517+01,40,241,832,3683246080,42631168,2124756,0,160545149425,1480802224,0,2,3294,298828,12724,429991,0,137143775
ytb-AdBlockPlus-v2,b2d0fd68-e172-41a9-ab46-9e1c9f570fc6,2026-03-27 13:23:50.307807+01,23,3237,9718,6367903744,148819968,1848341,0,124890853074,1288160876,0,23,3693,4815282,38602,231994,0,416071625
ytb-AdBlockPlus-v2,9f00254f-a303-4966-a35e-aafa0b25540e,2026-03-27 13:39:16.288867+01,68,3520,10711,6415859712,93626368,1816613,0,139913946798,1266048510,0,45,4337,4195578,38174,726989,0,411452844
ytb-AdBlockPlus-v2,edff7b14-1473-44db-a7f5-15d0fffca4bd,2026-03-27 13:55:48.044869+01,23,3237,9772,6369288192,261259264,2754217,0,121199662290,1919491521,0,28,4505,7151785,38039,270992,0,409998728
ytb-noAddBlock-v2,77804b36-cd52-4df2-b6d1-5fec204dd32d,2026-03-27 21:57:14.528787+01,59,2573,8309,6227206144,345178112,288164,0,92032610737,200830390,0,46,3926,7828509,31557,639964,0,340125751
ytb-Ublock-v2,967963d7-5aeb-4ced-b88d-2f5948195610,2026-03-27 22:05:23.071025+01,22,2738,7757,6252994560,286420992,1846723,0,133066769877,1287033175,0,12,3815,4259241,39174,225961,0,422239731
ytb-Ublock-v2,61f84710-6d58-413e-8ea2-c64c6ebb36a1,2026-03-27 22:19:52.93909+01,44,3844,11417,5865578496,377827328,1810604,0,158488159105,1261860546,0,18,4393,10552780,39965,471950,0,430748770
ytb-Ublock-v2,e4975597-73d4-43f7-bdd3-87c551a08a97,2026-03-27 22:36:21.786498+01,63,2953,8001,6372085760,441200640,1850388,0,134464442918,1289588013,0,23,3864,6443357,38372,677955,0,413593724
ytb-Ublock-v2,d0ceb874-3a0b-4878-b8fb-918cc89ee5fd,2026-03-27 22:57:06.009075+01,52,3159,9630,6323511296,284688384,1851742,0,134042780085,1290531808,0,22,3980,6393302,38586,553963,0,415881707
ytb-Ublock-v2,9aa1dacd-3a77-49c6-a811-b08926dbecce,2026-03-27 23:10:16.472537+01,107,3237,10023,5728813056,431493120,1854404,73996,132642511659,1292386811,1,23,4410,8375598,42019,1158948,7,452900764
ytb-Ublock-v2,c4f089cc-ffe2-42cb-b14b-59e65ec2a23c,2026-03-27 23:24:38.952352+01,45,3230,9785,5388668928,458997760,1813045,0,160035534258,1263561426,0,15,4484,11088983,40114,474948,0,432348718
ytb-Ublock-v2,4b11f19e-d6f9-4a0d-a473-419a192427ac,2026-03-27 23:41:34.135441+01,13,3021,9228,5491548160,511266816,1847603,0,135818104622,1287645869,0,5,3836,9890678,39045,125968,0,420832819
ytb-Ublock-v2,ffa6aa13-e1d9-40f1-939b-52318bc4ea7c,2026-03-28 00:17:50.812505+01,130,3098,9467,6265585664,515510272,1846274,0,136279768048,1286720959,0,31,3951,9727342,40346,1406972,0,434869833
ytb-Ublock-v2,f87dbc3b-2b96-4192-88b2-e0c1eb23af6a,2026-03-28 00:42:30.678007+01,97,2561,8218,6246998016,493416448,1857796,0,104361694548,1294750356,0,25,3846,9228575,34341,1049970,0,370146671
ytb-noAddBlock-v2,27fe4249-c601-4494-8f84-76429cdfd9ca,2026-03-28 10:35:08.785393+01,40,3619,10028,6345973760,54247424,1816085,2000,122549104823,1265680438,0,22,4524,3499051,36319,447957,0,391464546
ytb-noAddBlock-v2,470fb294-0e4e-45e3-b918-c4d18f0a5f1a,2026-03-28 10:49:21.423103+01,43,2747,8728,5448687616,11137024,1859245,0,108465789871,1295759730,0,21,4244,1825092,36016,454957,0,388206649
ytb-noAddBlock-v2,37d5b2ed-e100-442d-ad2b-4412e8bab025,2026-03-28 11:03:28.685247+01,15,2700,7887,5953363968,11337728,1855036,0,111580849577,1292826014,0,19,4095,2286808,35591,167972,0,383609751
ytb-premium-v2,f0b7fb9a-fe4d-4f5e-9151-a4d10eb9ef4b,2026-03-28 12:20:33.293597+01,437,2921,8302,6236057600,611913728,303434,0,102446348193,211472091,0,116,5986,10478512,35595,4726913,0,383656814
ytb-premium-v2,d1a2ac31-3fa2-4b7e-a4c6-48c040183459,2026-03-28 12:26:27.532736+01,37,2804,8782,5975158784,602034176,1852036,0,123567206999,1290735557,0,16,7391,9040457,32925,401969,0,354881776
ytb-noAddBlock-v2,18c8d589-282f-4480-9d11-b704cfb0d743,2026-03-28 13:27:41.782395+01,23,2424,7482,6349967360,14245888,1872896,0,125761815450,1305274308,0,19,3937,2459385,31320,242986,0,337574717
