id,name,created_at,duration_video_s,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
c2823301-2e4b-4d03-af04-14f35f646308,ytb-noAddBlock-v3,2026-04-15 20:09:19.3911+02,570.8742710000000000,0,51265,0,0,0,0,138035987456,0,2368250,1531904,0,5512905,131697477
fce4ba14-5606-45f5-923b-cc92e422b49e,ytb-noAddBlock-v3,2026-04-15 20:37:33.215812+02,570.6234560000000000,0,55536,0,0,0,0,148726104846,0,3206010,1552384,0,576881,166382463
41a098a1-42dd-4f0d-934c-2a06171091ff,ytb-noAddBlock-v3,2026-04-15 20:58:06.259467+02,570.2486480000000000,0,50501,0,0,0,0,148131894870,0,3378687,1290240,0,941870,171486473
e5ad35a1-d2b5-4551-9aa2-b6c0476d2b36,ytb-noAddBlock-v3,2026-04-15 21:18:45.113485+02,570.7930270000000000,0,52552,0,0,0,0,140065778211,0,2117357,1376256,0,899963,109518480
28fe1480-ab6d-4081-9474-f5368d33ae82,ytb-noAddBlock-v3,2026-04-15 21:38:10.220729+02,570.5880910000000000,0,57045,0,0,0,0,150377746423,0,2270798,1372160,0,776962,118530464
2d3ead6b-d1e7-4296-bcd5-bc0fd07b0dc7,ytb-noAddBlock-v3,2026-04-15 21:57:14.554911+02,570.3038050000000000,0,51417,0,0,0,0,137336271263,0,1884553,1249280,0,681968,102826450
951c15f1-8659-47d1-b477-36f84bf895f3,ytb-premium-v3,2026-04-15 22:16:36.699474+02,570.5880250000000000,0,74599,0,0,0,0,250949169632,0,3075700,2990080,0,583965,138889452
145ceeb8-5489-4665-8506-5e37d04c97d4,ytb-premium-v3,2026-04-15 22:35:13.886036+02,570.4831860000000000,0,76331,0,0,0,0,255432807461,0,3310633,2367488,0,939966,145622454
545aedf5-b052-41cc-9cf6-c443cf9375e5,ytb-premium-v3,2026-04-15 23:08:54.782849+02,570.3007080000000000,0,59657,0,0,0,0,202067747756,0,2669640,1241088,0,721957,120648465
4bce0916-8cd4-4e8d-93b7-63fb764f313a,ytb-premium-v3,2026-04-15 23:44:06.936247+02,570.0878020000000000,0,86550,0,0,0,0,226334647390,0,9649065,3088384,0,1979970,4138474379
de970972-f782-4947-9a5f-4f8f295a6f4c,ytb-premium-v3,2026-04-16 08:50:59.54049+02,570.1198680000000000,0,81092,0,0,0,0,260256255008,0,9348381,3268608,0,1291937,427737452
611f3684-a91d-4856-b113-6d9f796a9a18,ytb-premium-v3,2026-04-16 09:29:36.052928+02,569.8252300000000000,0,76968,0,0,0,0,255082977027,0,3538345,4907008,0,1292955,158592447
f9e28a89-9525-4558-9d8b-4f208acabd1d,ytb-premium-v3,2026-04-16 09:50:50.576518+02,570.0109870000000000,0,75600,0,0,0,0,253387268029,0,3313388,1851392,0,352960,147049480
89e8a689-995e-4e43-8246-4eefd5145a1a,ytb-premium-v3,2026-04-16 10:09:42.738309+02,570.0762470000000000,0,73878,0,0,0,0,251770888627,0,3251751,1765376,0,768962,149679480
