categorie,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,cpu_time_powermetrics_vm,phase_time_syscall_system,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,cores_energy_powermetrics_component
ytb-AdBlockPlus-v2,3.8181818181818182,397.3333333333333333,1010.9333333333333333,64820019.200000000000,7260296.533333333333,21496671591.46666667,559594703.19047619,2.0000000000000000,294.9523809523809524,183549.066666666667,3472.6666666666666667,37429968.866666666667
ytb-AdGuard-v2,2.8571428571428571,676.1538461538461538,1648.4615384615384615,46369240.615384615385,9700903.384615384615,16550950789.38461538,544467392.14285714,6.5000000000000000,316.9285714285714286,452627.000000000000,3276.6153846153846154,35316369.076923076923
ytb-noAddBlock-v2,4.0000000000000000,165.2000000000000000,480.8000000000000000,26443776.000000000000,833536.000000000000,9839459429.20000000,507891280.69230769,3.6666666666666667,395.2307692307692308,10435.0000000000000000,1536.8000000000000000,16562559.200000000000
ytb-premium-v2,11.1666666666666667,197.3529411764705882,540.3529411764705882,24820736.000000000000,1014603.294117647059,7612240387.64705882,511660650.82608696,4.6000000000000000,268.8695652173913043,25425.294117647059,1792.9411764705882353,19325844.058823529412
ytb-Ublock-v2,4.4285714285714286,423.8750000000000000,1082.2500000000000000,60501248.000000000000,7840768.000000000000,22194187617.06250000,632476974.08333333,2.2857142857142857,395.2500000000000000,214825.125000000000,3591.1250000000000000,38706346.625000000000
